Date/Time, Total Electric Demand Power
2016/5/31 0:00,83922.6009
2016/5/31 0:05,74934.1112
2016/5/31 0:10,74872.3984
2016/5/31 0:15,77222.0684
2016/5/31 0:20,77209.8099
2016/5/31 0:25,73878.1795
2016/5/31 0:30,77285.588
2016/5/31 0:35,77215.0395
2016/5/31 0:40,77206.7412
2016/5/31 0:45,77198.2561
2016/5/31 0:50,77191.7851
2016/5/31 0:55,77185.0296
2016/5/31 1:00,77179.8311
2016/5/31 1:05,77179.3494
2016/5/31 1:10,77179.1802
2016/5/31 1:15,77179.1484
2016/5/31 1:20,77179.1882
2016/5/31 1:25,77179.2223
2016/5/31 1:30,73888.7825
2016/5/31 1:35,77269.2927
2016/5/31 1:40,77196.448
2016/5/31 1:45,77191.1189
2016/5/31 1:50,77185.435
2016/5/31 1:55,77181.9188
2016/5/31 2:00,77179.5623
2016/5/31 2:05,77177.5167
2016/5/31 2:10,77175.7166
2016/5/31 2:15,74803.5742
2016/5/31 2:20,74801.7745
2016/5/31 2:25,74799.9658
2016/5/31 2:30,77168.4903
2016/5/31 2:35,75385.4126
2016/5/31 2:40,76359.4059
2016/5/31 2:45,76321.3403
2016/5/31 2:50,76312.8805
2016/5/31 2:55,76305.3715
2016/5/31 3:00,76300.1128
2016/5/31 3:05,76296.0701
2016/5/31 3:10,76292.6732
2016/5/31 3:15,76290.823
2016/5/31 3:20,78658.213
2016/5/31 3:25,78655.3888
2016/5/31 3:30,78652.5999
2016/5/31 3:35,77140.2267
2016/5/31 3:40,73848.5421
2016/5/31 3:45,77178.0984
2016/5/31 3:50,77151.7374
2016/5/31 3:55,77142.1554
2016/5/31 4:00,77133.8582
2016/5/31 4:05,77127.8161
2016/5/31 4:10,77121.7896
2016/5/31 4:15,77117.5324
2016/5/31 4:20,77113.7221
2016/5/31 4:25,77110.1346
2016/5/31 4:30,77106.6648
2016/5/31 4:35,77103.3577
2016/5/31 4:40,77100.0337
2016/5/31 4:45,73811.1812
2016/5/31 4:50,77131.7327
2016/5/31 4:55,77109.7897
2016/5/31 5:00,77099.6984
2016/5/31 5:05,82764.914
2016/5/31 5:10,80382.8357
2016/5/31 5:15,80143.8319
2016/5/31 5:20,80070.7763
2016/5/31 5:25,80014.9925
2016/5/31 5:30,79969.3738
2016/5/31 5:35,79930.2097
2016/5/31 5:40,79895.876
2016/5/31 5:45,79864.9475
2016/5/31 5:50,76259.9913
2016/5/31 5:55,80505.7047
2016/5/31 6:00,80068.2639
2016/5/31 6:05,82597.4401
2016/5/31 6:10,80896.1505
2016/5/31 6:15,80707.6447
2016/5/31 6:20,80642.6839
2016/5/31 6:25,80653.4594
2016/5/31 6:30,80687.6942
2016/5/31 6:35,80697.4365
2016/5/31 6:40,80688.0458
2016/5/31 6:45,80677.4193
2016/5/31 6:50,80676.0782
2016/5/31 6:55,83036.3798
2016/5/31 7:00,83038.7971
2016/5/31 7:05,123853.2078
2016/5/31 7:10,126968.5443
2016/5/31 7:15,126239.8922
2016/5/31 7:20,125962.6476
2016/5/31 7:25,137525.0851
2016/5/31 7:30,141557.3773
2016/5/31 7:35,147289.8702
2016/5/31 7:40,159573.4944
2016/5/31 7:45,160552.8563
2016/5/31 7:50,161519.9998
2016/5/31 7:55,162736.5063
2016/5/31 8:00,163272.2056
2016/5/31 8:05,193779.1516
2016/5/31 8:10,196390.2638
2016/5/31 8:15,196731.3177
2016/5/31 8:20,197113.8498
2016/5/31 8:25,197428.1403
2016/5/31 8:30,197717.1771
2016/5/31 8:35,196474.8372
2016/5/31 8:40,196689.5694
2016/5/31 8:45,198486.2564
2016/5/31 8:50,198757.7801
2016/5/31 8:55,202030.0324
2016/5/31 9:00,197792.67
2016/5/31 9:05,177865.6763
2016/5/31 9:10,175260.7614
2016/5/31 9:15,175681.7741
2016/5/31 9:20,171729.0254
2016/5/31 9:25,172515.5113
2016/5/31 9:30,172414.9599
2016/5/31 9:35,172678.9578
2016/5/31 9:40,175168.2777
2016/5/31 9:45,176119.7687
2016/5/31 9:50,176484.9232
2016/5/31 9:55,176829.9777
2016/5/31 10:00,176115.9276
2016/5/31 10:05,169569.8463
2016/5/31 10:10,167044.7811
