Date_Time,Hazium_Concentration
2016/5/31 0:00,0
2016/5/31 0:05,0
2016/5/31 0:10,0
2016/5/31 0:15,0
2016/5/31 0:20,0
2016/5/31 0:25,0
2016/5/31 0:30,0
2016/5/31 0:35,0
2016/5/31 0:40,0
2016/5/31 0:45,0
2016/5/31 0:50,0
2016/5/31 0:55,0
2016/5/31 1:00,0
2016/5/31 1:05,0
2016/5/31 1:10,0
2016/5/31 1:15,0
2016/5/31 1:20,0
2016/5/31 1:25,0
2016/5/31 1:30,0
2016/5/31 1:35,0
2016/5/31 1:40,0
2016/5/31 1:45,0
2016/5/31 1:50,0
2016/5/31 1:55,0
2016/5/31 2:00,0
2016/5/31 2:05,0
2016/5/31 2:10,0
2016/5/31 2:15,0
2016/5/31 2:20,0
2016/5/31 2:25,0
2016/5/31 2:30,0
2016/5/31 2:35,0
2016/5/31 2:40,0
2016/5/31 2:45,0
2016/5/31 2:50,0
2016/5/31 2:55,0
2016/5/31 3:00,0
2016/5/31 3:05,0
2016/5/31 3:10,0
2016/5/31 3:15,0
2016/5/31 3:20,0
2016/5/31 3:25,0
2016/5/31 3:30,0
2016/5/31 3:35,0
2016/5/31 3:40,0
2016/5/31 3:45,0
2016/5/31 3:50,0
2016/5/31 3:55,0
2016/5/31 4:00,0
2016/5/31 4:05,0
2016/5/31 4:10,0
2016/5/31 4:15,0
2016/5/31 4:20,0
2016/5/31 4:25,0
2016/5/31 4:30,0
2016/5/31 4:35,0
2016/5/31 4:40,0
2016/5/31 4:45,0
2016/5/31 4:50,0
2016/5/31 4:55,0
2016/5/31 5:00,0
2016/5/31 5:05,0
2016/5/31 5:10,0
2016/5/31 5:15,0
2016/5/31 5:20,0
2016/5/31 5:25,0
2016/5/31 5:30,0
2016/5/31 5:35,0
2016/5/31 5:40,0
2016/5/31 5:45,0
2016/5/31 5:50,0
2016/5/31 5:55,0
2016/5/31 6:00,0
2016/5/31 6:05,0
2016/5/31 6:10,0
2016/5/31 6:15,0
2016/5/31 6:20,0
2016/5/31 6:25,0
2016/5/31 6:30,0
2016/5/31 6:35,0
2016/5/31 6:40,0
2016/5/31 6:45,0
2016/5/31 6:50,0
2016/5/31 6:55,0
2016/5/31 7:00,0
2016/5/31 7:05,0
2016/5/31 7:10,0
2016/5/31 7:15,0
2016/5/31 7:20,0
2016/5/31 7:25,0
