Date/Time, Total Electric Demand Power
2016/5/31 0:00,925321.6078
2016/5/31 1:00,922988.9155
2016/5/31 2:00,913791.0112
2016/5/31 3:00,923606.6408
2016/5/31 4:00,922087.6128
2016/5/31 5:00,956903.1518
2016/5/31 6:00,972028.6963
2016/5/31 7:00,1656818.278
2016/5/31 8:00,2334870.581
2016/5/31 9:00,2120542.284
2016/5/31 10:00,2029327.151
2016/5/31 11:00,2119665.462
2016/5/31 12:00,2251197.289
2016/5/31 13:00,2237853.302
2016/5/31 14:00,2002611.649
2016/5/31 15:00,2100367.835
2016/5/31 16:00,2184200.017
2016/5/31 17:00,2115374.682
2016/5/31 18:00,1340570.257
2016/5/31 19:00,1196069.328
2016/5/31 20:00,1175732.844
2016/5/31 21:00,1189001.496
2016/5/31 22:00,976877.377
2016/5/31 23:00,1037467.192
2016/6/1 0:00,936020.0679
2016/6/1 1:00,939391.5571
2016/6/1 2:00,940692.8871
2016/6/1 3:00,941221.1661
2016/6/1 4:00,948662.3424
2016/6/1 5:00,1007886.76
2016/6/1 6:00,1043997.732
2016/6/1 7:00,1671005.493
2016/6/1 8:00,2376373.42
2016/6/1 9:00,2161076.395
2016/6/1 10:00,2046619.782
2016/6/1 11:00,2129947.933
2016/6/1 12:00,2287180.494
2016/6/1 13:00,2303167.68
2016/6/1 14:00,2029743.119
2016/6/1 15:00,2127876.927
2016/6/1 16:00,2236380.502
2016/6/1 17:00,2246402.491
2016/6/1 18:00,1415128.107
2016/6/1 19:00,1270178.448
2016/6/1 20:00,1239936.442
2016/6/1 21:00,1231314.882
2016/6/1 22:00,999909.6051
2016/6/1 23:00,1064627.182
2016/6/2 0:00,947459.3382
2016/6/2 1:00,951927.9019
2016/6/2 2:00,948527.5213
2016/6/2 3:00,950363.5531
2016/6/2 4:00,950412.3677
2016/6/2 5:00,991606.2744
2016/6/2 6:00,1018606.898
2016/6/2 7:00,1730857.676
2016/6/2 8:00,2380961.423
2016/6/2 9:00,2152691.692
2016/6/2 10:00,2017489.977
2016/6/2 11:00,2119293.303
2016/6/2 12:00,2277995.571
2016/6/2 13:00,2345550.892
2016/6/2 14:00,2118034.235
2016/6/2 15:00,2266007.839
2016/6/2 16:00,2352843.975
2016/6/2 17:00,2299969.925
2016/6/2 18:00,1491172.587
2016/6/2 19:00,1343899.828
2016/6/2 20:00,1321591.685
2016/6/2 21:00,1312694.047
2016/6/2 22:00,1096404.861
2016/6/2 23:00,1145001.381
2016/6/3 0:00,1033136.472
2016/6/3 1:00,1035725.027
2016/6/3 2:00,1028299.413
2016/6/3 3:00,1030790.845
2016/6/3 4:00,1032636.383
2016/6/3 5:00,1020175.732
2016/6/3 6:00,1046609.926
2016/6/3 7:00,1762321.582
2016/6/3 8:00,2469845.293
2016/6/3 9:00,2225060.092
2016/6/3 10:00,2112956.537
2016/6/3 11:00,2174517.992
2016/6/3 12:00,2274012.191
2016/6/3 13:00,2352960.604
2016/6/3 14:00,2115433.333
2016/6/3 15:00,2214826.395
2016/6/3 16:00,2301256.774
2016/6/3 17:00,2270527.741
2016/6/3 18:00,1722183.714
2016/6/3 19:00,1593158.277
2016/6/3 20:00,1587572.962
2016/6/3 21:00,1591089.853
